shipToCode,name,address1,address2,city,postalCode
200775,EMMANUEL MEDICAL CLINIC,BLOCK 272 TAMPINES ST 22,#01-26,SINGAPORE,520272
200777,S.S. TAN MEDICAL CLINIC- DR TAN SHING SAN,BLOCK 744 YISHUN AVE 5 ST 72,#01-195,SINGAPORE,760744
200778,TOWN HALL CLINIC P/L- DR JULIAN PNG,456 ALEXANDRA RD.,#02-01 NOL BUILDING,SINGAPORE,119976
200784,ADAM RD MEDICAL CTR-DR FRANCIS NGUI Y C/ DR F.NGUI,559 BUKIT TIMAH RD.,#01-02 KING'S ARCADE,SINGAPORE,269695
200787,TECK GHEE CLINIC - DR KOH GIN POH,BLOCK 451 ANG MO KIO AVENUE 10,#01-1765,SINGAPORE,560451
200793,TEKKA CLINIC SURGERY- DR HARIDASS RAMDASS,BLOCK 668 CHANDER RD.,#02-06 OFF SERANGOON/KERBAU ROAD,SINGAPORE,210668
200795,DR CHAN PENG MUN CLINIC & SURGERY-DR CHAN PENG MUN,5 KOEK RD.,#01-23 CUPPAGE PLAZA,SINGAPORE,238796
200798,LEE CLINIC - DR LEE CHON SHAM,2 SAINT GEORGE'S RD.,,SINGAPORE,328023
200800,MAO MEDICAL CTR & SURGERY P/L-DR MAO FONG HAO,BLOCK 149 SILAT AVENUE,#01-54,SINGAPORE,160149
200803,ORCHARD GROUP CLINIC- DR TAN CHIN LOCK,545 ORCHARD RD.,#12-04 FAR EAST SHOPPING CTR.,SINGAPORE,238882
200807,S.K. TAY CLINIC & SURGERY- DR TAY SOI KHENG,BLOCK 827 TAMPINES ST. 81,ALONG AVENUE 3 #01-140,SINGAPORE,520827
200811,Y T LIM CLINIC - DR LIM YONG TEENG,BLOCK 201B TAMPINES ST. 21,#01-1067,SINGAPORE,522201
200829,HOUGANG CLINIC - DR CHUA CHONG LI,BLOCK 631 HOUGANG AVENUE 8,#01-16,SINGAPORE,530631
200840,UNION MEDICAL CLINIC & SURGERY- DR BETTY KOH M N,BLOCK 152 SERANGOON NORTH AVE 1,#01-330,SINGAPORE,550152
200842,TAN & YIK CLINIC & SURGERY- DR TAN GEE HWA,BLOCK 116 BISHAN ST. 12,#01-36,SINGAPORE,570116
200843,GORDON LIM CLINIC & SURG FOR WOMEN P/L,6 NAPIER RD.,#03-06 GLENEAGLES MEDICAL CENTRE,SINGAPORE,258499
200844,YISHUN MEDICAL CTR.,BLOCK 618 YISHUN RING RD.,#01-3234,SINGAPORE,760618
200848,PAUL W NGUI PTE LTD C/O NGUI PSYCHIATRY ASSOCIATES,101 IRRAWADDY ROAD,#15-07 ROYAL SQUARE AT NOVENA,SINGAPORE,329565
200853,CHUA MEDICAL CTR P/L- DR CHUA TEO NGEE,BLOCK 248 SIMEI ST. 3,#01-134,SINGAPORE,520248
200854,TRINITY HEALTHCARE GROUP P/L-DR LIM Y K/DR CHIN C,BLOCK 130 JURONG EAST ST. 13,#02-205,SINGAPORE,600130
200856,HONG FAMILY CLINIC- DR HONG LEE TIONG,BLOCK 282 TAMPINES ST. 22,#01-300,SINGAPORE,520282
200863,MARY MEDICAL CLINIC & SURGERY-DR MARY YAO WAN HWA,BLOCK 252 JURONG EAST ST. 24,#01-157,SINGAPORE,600252
200865,THE PSYCHIATRIC & BEHAVIOURAL MEDICINE CL-DR ANG P,3 MOUNT ELIZABETH,#15-08 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200874,BERNARD EE MEDICAL CTR P/L- C/O BERNARD EE CARDIAC,6 NAPIER RD.,#03-05 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
200876,CLINIC CP LIM PTE LTD,319 JOO CHIAT PLACE,#04-02 PARKWAY EAST MEDICAL CENTRE,SINGAPORE,427989
200877,THE CARDIO CLINIC PTE LTD C/O BALDEV & ONG THE CAR,319 JOO CHIAT PLACE,#02-02 PARKWAY EAST MEDICAL CTR.,SINGAPORE,427989
200881,GOODHEALTH MEDICAL CTR- DR TAN LEAN BENG,BLOCK 644 HOUGANG AVENUE 8,#01-275,SINGAPORE,530644
200886,NEIGHBOURHOOD CLINIC- DR LIM YU HER,BLOCK 260 BANGKIT RD.,#01-13 BUKIT PANJANG NEIGHBOURHOOD CTR,SINGAPORE,670260
200887,THE BONHAM CLINIC P/L-DR DAVID EU,100 PECK SEAH STREET,#11-16/17,SINGAPORE,079333
200891,STREET 21 CLINIC TAMPINES PTE LTD DR GAN TEK KAH,BLOCK 201B TAMPINES ST. 21,#02-1097,SINGAPORE,522201
200892,S C WONG SURGERY P/L- DR WONG SEN CHOW,#02-03 BLOCK A,MOUNT ALVERNIA MEDICAL CENTRE,SINGAPORE,574623
200903,NEO CLINIC & SURGERY- DR NEO ENG KIONG,BLOCK 257 BANGKIT RD.,#01-45,SINGAPORE,670257
200906,DOLLY WEE CLINIC & SURGERY FOR WOMEN P/L,3 MOUNT ELIZABETH,#04-08 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200910,RICHARD CHEW SURGERY- DR RICHARD CHEW KIM HUAT,3 MOUNT ELIZABETH,#16-09 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
200916,NEIGHBOURHOOD MEDICAL CLINIC P/L-DR TAN HENG,BLOCK 683 HOUGANG AVENUE 8,#01-901,SINGAPORE,530683
200920,LIFELINE YISHUN RING MEDICAL CLINIC P/L,BLOCK 846 YISHUN RING RD.,#01-3615,SINGAPORE,760846
200924,YONG CLINIC & SURGERY- DR YONG CHEE FAH,BLOCK 632 YISHUN ST. 61,#01-06,SINGAPORE,760632
200926,YEO SEEM HUAT PSYCHIATRIC CLINIC P/L,290 ORCHARD RD.,#06-10 PARAGON,SINGAPORE,238859
200935,THE MEDICAL CLINIC P/L-DR TAY KEW WEI,63 CHULIA ST.,#01-02 OCBC CTR. EAST,SINGAPORE,049514
200941,NEOH & ONG MEDICAL CLINIC- DR LINDA NEOH,BLOCK 2A EUNOS CRESCENT,#01-2447,SINGAPORE,401002
200947,TOYU MEDICAL CTR -DR CHOO WENG SIN,BLOCK 351 JURONG EAST ST. 31,#01-85,SINGAPORE,600351
200955,SHERATON MEDICAL CLINIC- DR YAP YONG SANG,BLOCK 681 HOUGANG AVENUE 8,#01-843,SINGAPORE,530681
200961,K K HO CLINIC FOR WOMEN P/L- DR HO KOK KEE,3 MOUNT ELIZABETH,#17-15 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200963,THE CARDIAC CTR. - DR LESLIE LAM,3 MOUNT ELIZABETH,#15-11 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
200968,COUNTRYSIDE CLINIC & SURGERY- DR ZAILAN BIN AHMAD,BLOCK 106 YISHUN RING RD.,#01-189,SINGAPORE,760106
200971,KUSUMA LEE CLINIC & SURGERY FOR WOMEN P/L,304 ORCHARD RD.,#06-51 LUCKY PLAZA,SINGAPORE,238863
200974,FRONTIER MEDICAL ASSOCIATES(UBI)P/L,BLOCK 304 UBI AVENUE 1,#01-87,SINGAPORE,400305
200980,WOMEN'S HEALTH PROFESSIONAL PTE LTD,290 ORCHARD RD.,#09-01/02 PARAGON,SINGAPORE,238859
200982,K.C. CHING CLINIC & SURGERY FOR WOMEN,3 MOUNT ELIZABETH,#10-13 MT ELIZABETH MEDICAL CTR.,SINGAPORE,247909
200984,BL MEDICAL ASSOCIATES- DR LIM BEE LIN,2 SCIENCE PARK DRIVE,"#01-10, ASCENT",SINGAPORE,118222
200987,CENTRAL MEDICAL GROUP P/L- DR LIM GEOK LEONG,BLOCK 11 JALAN BUKIT MERAH,#01-4442,SINGAPORE,150011
201003,SHALOM CLINIC & SURGERY- DR LAWRENCE SOH ENG LIONG,BLOCK 123 BUKIT MERAH LANE 1,#01-104,SINGAPORE,150123
201012,JOY CLINIC & SURGERY-DR SOH LIN TIN,BLOCK 844 YISHUN ST. 81,#01-164,SINGAPORE,760844
201014,APEX CLINIC & SURGERY- DR GOH MIAH KIANG,BLOCK 844 YISHUN ST. 81,#01-162,SINGAPORE,760844
201021,CITYMED HEALTH ASSOCIATES P/L-DR CHAN SUEN MENG,19 KEPPEL RD.,#01-01 JIT POH BUILDING GROUND FLOOR,SINGAPORE,089058
201026,MARITIME MEDICAL CTR. PTE LTD,120 CANTONMENT RD.,#02-03 TO 06 MARITIME HOUSE,SINGAPORE,089760
201028,TAN LEE CLINIC P/L-DR TAN LAY KEANG (TAN LEE CLINI,BLK 446 PASIR RIS DRIVE 6 #01-126,#01-126,SINGAPORE,510446
201030,SIMEI CLINIC & SURGERY- DR PETER NG TECK HWEE,BLOCK 248 SIMEI ST. 3,#01-132,SINGAPORE,520248
201032,DEVATHASAN NEUROLOGY & MEDICAL P/L,3 MOUNT ELIZABETH,#11-16 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
201036,GOH CLINIC & SURGERY- DR MALCOLM GOH CHIN LIANG,BLOCK 204 HOUGANG ST. 21,#01-101,SINGAPORE,530204
201041,W K KOO & ASSOCIATES P L- DR KOO WEE KHIAT ALVIN,1 JURONG WEST CENTRAL 2,#01-16A&B JURONG POINT SHOPPING CTR,SINGAPORE,648886
201047,K P TAN MEDICAL CLINIC- DR TAN KOK PIN,BLOCK 811 HOUGANG CENTRAL,#01-192,SINGAPORE,530811
201048,HII WOMEN'S CLINIC- DR HII HOI CHIN,BLOCK 846 YISHUN RING RD.,#01-3635,SINGAPORE,760846
201049,HEALTH PARTNERSHIP MED CTR- DR CHEONG KWOK KEONG,BLOCK 109 BUKIT PURMEI,#01-145,SINGAPORE,090109
201050,JENISIS INC PTE LTD C/O WOMEN'S CLINIC OF SINGAPOR,BLOCK 721 ANG MO KIO AVENUE 8,#01-2813,SINGAPORE,560721
201054,FAMILY MEDICAL CLINIC- DR CELENA TAY SIEW TEE,BLOCK 280 BUKIT BATOK EAST AVE 3,#01-317,SINGAPORE,650280
201055,LIFE CARE CLINIC - DR LEE BON FA,BLOCK 259 BUKIT PANJANG RING RD.,#01-12,SINGAPORE,671259
201059,S G CLINIC FAMILY PRACTICE- DR SURESH MAHTANI,84 SERANGOON GARDEN WAY,,SINGAPORE,555980
201060,T P SIM FAMILY CLINIC & SURGERY- DR SIM TIONG PUAY,BLOCK 509 BISHAN ST. 11,#01-378,SINGAPORE,570509
201065,T&T FAMILY HEALTH CLINIC & SURGERY- DR TING C M,181 KITCHENER RD.,#01-14 TO 20 NEW PARKHOTELSHOPPINGARCADE,SINGAPORE,208533
201072,SAW BABY & CHILD CLINIC & KHOO FAMILY CLINIC,BLOCK 681 HOUGANG AVENUE 8,#01-827,SINGAPORE,530681
201074,HUAN CLINIC - DR M W HUAN,BLOCK 51 CHIN SWEE RD.,#03-111,SINGAPORE,160051
201076,DRS GOH &TAN FAMILY CLINIC &SURGERY,BLOCK 283 BISHAN ST. 22,#01-191,SINGAPORE,570283
201080,FAR EAST MED PRACTITIONERS P/L DRS M GOH/R SADASIV,545 ORCHARD RD.,#06-07 FAR EAST SHOPPING CTR.,SINGAPORE,238882
201085,THE RAFFLESIAN CLINIC & SURGERY-DR JANICE S S KHOO,10 SINARAN DRIVE,#11-06 NOVENA MEDICAL CENTER,SINGAPORE,307506
201091,HEALTHWAY MEDICAL CLINIC,BLOCK 960 JURONG WEST ST. 92,#01-166,SINGAPORE,640960
201093,PACIFIC MEDICAL & DENTAL GROUP- DR ELENA KAN,BLOCK 716 YISHUN ST. 71,#01-270,SINGAPORE,760716
201097,TAMPINES MEDILIFE CLINIC- DR TAN EE POH,BLOCK 801 TAMPINES AVENUE 4,#01-263,SINGAPORE,520801
201201,TAN'S T & T CLINIC & SURGERY- DR TAN POH HENG,BLOCK 152 BISHAN ST. 11,#01-213,SINGAPORE,570152
201202,ANDERSON MEDICAL CTR- DR CHANG CHEE CHEA,BLOCK 283 BISHAN ST. 22,#01-173,SINGAPORE,570283
201208,THE DIABETES & ENDOCRINE CLINIC- DR TAN KHAI TONG,3 MOUNT ELIZABETH,#15-18 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
201210,TANG NEUROLOGY & MEDICAL CLINIC- DR TANG KOK FOO,3 MOUNT ELIZABETH,#14-01 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
201218,GYNAE CONSULTANCY P/L - DR YAP L K,3 MOUNT ELIZABETH,#09-07 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
201219,K K TAN MEDICAL CLINIC- DR TAN KOK KHENG,BLOCK 284 BISHAN ST. 22,#01-209,SINGAPORE,570284
201227,HEALTHWAY MEDICAL CLINIC- DR TAN SEE LENG,BLOCK 110 LENGKONG TIGA,#01-231,SINGAPORE,410110
201230,NEWCASTLE CLINIC C/O NEWCASTLE CLINIC PTE LTD,541 ORCHARD ROAD,#18-02A LIAT TOWERS,SINGAPORE,238881
201231,TEH LIP BIN GASTROENTEROLOGY & MEDICAL CLINIC,6 NAPIER RD.,#04-04 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201234,HO MEDICAL CLINIC - DR HO KAH NANG,101 UPPER CROSS ST.,#03-09 PEOPLE'S PARK CTR.,SINGAPORE,058357
201236,PETER YAN MEDICAL SERVICES P/L- DR PETER YAN,6 NAPIER RD.,#04-10 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201237,TANAMERA CLINIC- DR KOH CHONG CHENG,BLOCK 73 BEDOK SOUTH AVENUE 3,#01-462,SINGAPORE,460073
201239,CARDIO-CARE CLINIC- DR WAN SHOUNG HOW,290 ORCHARD RD.,#09-11/12 PARAGON MEDICAL CTR.,SINGAPORE,238859
201240,MEDICARE ASSOCIATES PTE LTD DR JOHN CHUA,BLOCK 482 TAMPINES AVE 9 ST 43,#01-236,SINGAPORE,520482
201241,SHALOM MEDICAL GROUP- DR VINCENT TOK CHOO BENG,231 BAIN ST.,#03-57 BRAS BASAH COMPLEX,SINGAPORE,180231
201251,LIFECARE FAMILY CLINIC & SURGERY-DR LEE BOON SIONG,BLOCK 102 YISHUN AVENUE 5,#01-133,SINGAPORE,760102
201256,MEDICARE ASSOCIATES CLINIC & SURG- DR JOHN LEE,BLOCK 107 SERANGOON NORTH AVE 1,#01-679MEDICARE ASS. CL,SINGAPORE,550107
201266,THE EDINBURGH CLINIC-DR TAN TZE LEE,BLOCK 306 CHOA CHU KANG AVENUE 4,#01-685,SINGAPORE,680306
201276,FAMILY HEALTHCARE CL & SURGERY- DR CHENG SOO HONG,BLOCK 523 HOUGANG AVENUE 6,#01-119,SINGAPORE,530523
201278,BOSE PSYCHIATRIC & STRESS DISORDER CL- DR P BOSE,3 MOUNT ELIZABETH,#14-12 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
201283,MEDICAL UNION CLINIC- DR WONG CHEE MIN,BLOCK 211 SERANGOON AVENUE 4,#01-04,SINGAPORE,550211
201286,HEALTHWAY MEDICAL CTR- DR LAI YEW TAN,BLOCK 417 YISHUN AVENUE 11,#01-321,SINGAPORE,760417
201290,TOA PAYOH NORTH CLINIC & SURGERY- DR KOH SEK KHOON,BLOCK 203 TOA PAYOH NORTH,#01-1111,SINGAPORE,310203
201291,81 FAMILY CLINIC- DR MANINDER SINGH SHAHI,BLOCK 86 MARINE PARADE CENTRAL,#01-670,SINGAPORE,440086
201292,CHANG CLINIC & SURGERY- DR STEPHEN C S CHANG,BLOCK 7 EVERTON PARK,#01-21,SINGAPORE,080007
201303,SILVER CROSS HEALTHCARE P/L-DR BELINDA WEE GEOK,BLOCK 163 LORONG 1 TOA PAYOH,#01-1014,SINGAPORE,310163
201307,FAMILY HEALTHCARE CL & SURG- DR LEE CHEONG CHENG,BLOCK 151 SERANGOON NORTH AVE 2,#01-35,SINGAPORE,550151
201308,WOODLANDS FAMILY CLINIC- DR TAN BENG TECK,BLOCK 305 WOODLANDS ST. 31,#01-85,SINGAPORE,730305
201309,CHENG JUN GASTROENTEROLOGY & MED CL- DR CHENG JUN,3 MOUNT ELIZABETH,#15-06 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
201310,HEALTHPOINT FAMILY CLINIC-DR.SARANI OMAR/DR.WONG M,BLOCK 48 TANGLIN HALT RD.,#01-337,SINGAPORE,142048
201312,EVERHEALTH MEDICAL CTR-DR WONG MING,BLOCK 540 HOUGANG AVENUE 8,#B1-1235,SINGAPORE,530540
201313,FAMILY HEALTH MEDICAL CTR- DR VIDA CHOU,BLOCK 226G ANG MO KIO ST. 22,#01-681,SINGAPORE,567226
201315,COUGH & CHEST SPECIALIST P/L-DR CHAN TIONG BENG,3 MOUNT ELIZABETH,#17-02 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
201318,MAY MEDICAL CLINIC & SURGERY P/L-DR NG MAY MEI,BLOCK 41 HOLLAND DRIVE,#01-19,SINGAPORE,270041
201319,B S CHEW CLINIC - DR CHEW BAN SOON,BLOCK 252 JURONG EAST ST. 24,#01-109,SINGAPORE,600252
201320,SIMS DRIVE MEDICAL CLINIC- DR LIM CHIEN CHUAN,BLOCK 53 SIMS PLACE,#01-174,SINGAPORE,380053
201324,JL MEDICAL(BKT BATOK)P/L-DR JANET LEE YENG FEN,BLOCK 413 BUKIT BATOK WEST AVE 4,#01-214,SINGAPORE,650413
201329,LOW MEDICAL CLINIC - DR LOW KEE HWA,BLOCK 67 KALLANG BAHRU,#01-447,SINGAPORE,330067
201330,FAMILY HEALTH CLINIC & SURGERY P/L-DR WONG TED MIN,BLOCK 2 BALESTIER RD.,#01-651 BALESTIER HILL SHOPPING CTR,SINGAPORE,320002
201331,B T GOH FAMILY CLINIC & SURGERY- DR GOH BEE TENG,BLOCK 194 KIM KEAT AVENUE,#01-406,SINGAPORE,310194
201335,MY FAMILY DOCTOR- DR CHONG BICK YEW,BLOCK 330 ANG MO KIO AVENUE 1,#01-1803 CLOSED ON WEDNESDAY EVENING,SINGAPORE,560330
201336,AR-RAUDHAH MEDICAL CLINIC-DR AMIR ADHHA B.ABDULLAH,BLOCK 372 BUKIT BATOK ST. 31,#01-386,SINGAPORE,650372
201338,DOCTOR JAY MEDICAL CTR- DR LIM JIUN JYE,115 KILLINEY RD.,,SINGAPORE,239553
201341,"DRS KOO,LOH & ASSOCIATES P/L-DR CAROLYN LOH YL",BLOCK 152 YUNG HO RD.,#B1-03,SINGAPORE,610152
201343,THE BISHAN FAMILY DOCTORS- DR CHUA BEE HONG,BLOCK 283 BISHAN ST. 22,#01-181,SINGAPORE,570283
201348,THE ARCADIA CLINIC- DR LIM CHUNG KHEE,2 PANDAN VALLEY,#01-211 ACACIA COURT,SINGAPORE,597626
201355,CHIN LEONG CLINIC-DR TAN CHIN LEONG,BLOCK 517 WEST COAST RD.,#01-555,SINGAPORE,120517
201358,SINGAPORE WOMEN'S CLINIC- DR CHAN CHI KIONG,BLOCK 352 CLEMENTI AVENUE 2,#01-127,SINGAPORE,120352
201359,C K TAN FAMILY CLINIC & SURGERY- DR SERENE TAN,BLOCK 125 LORONG 1 TOA PAYOH,#01-537,SINGAPORE,310125
201365,LER CLINIC & SURGERY- DR LER GEE BUEH,BLOCK 835 TAMPINES ST 83,#01-10,SINGAPORE,520835
201367,CHEN FAMILY CLINIC- DR CHEN SZE SIN,BLOCK 153 SERANGOON NORTH AVE 1,#01-490,SINGAPORE,550153
201368,326 AVENUE 3 CLINIC-DR WONG KAM WAH,BLOCK 326 SERANGOON AVENUE 3,#01-382,SINGAPORE,550326
201370,NEWLIFE FAMILY CLINIC & SURGERY- DR LIM LEE KIANG,BLOCK 61 TEBAN GARDEN RD.,#01-20,SINGAPORE,600061
201382,CLINICAL ASSOCIATES MEDICAL CTR-DR KAN SIEW YOONG,BLOCK 137 TECK WHYE LANE,#01-313,SINGAPORE,680137
201384,PUBLIC MEDICAL CLINIC & SURGERY- DR WONG CHOO MOK,BLOCK 664 YISHUN AVENUE 4,#01-275,SINGAPORE,760664
201388,THE CHUNGKIAW FAMILY PRACTICE P/L-DR KEVIN KOH,AMK THYE HUA KUAN HOSPITAL,"#01-06, AMK THYE HUA KUAN HOSPITAL",SINGAPORE,569766
201395,HUI CLINIC & SURGERY- DR JOHN HUI KEEN PENG,BLOCK 157 ANG MO KIO AVENUE 4,#01-566,SINGAPORE,560157
201396,PACIFIC FAMILY CLINIC P/L-DR KAO WEI HUNG,BLOCK 75D REDHILL RD.,#01-116,SINGAPORE,154075
201398,THE DOCTOR'S CLINIC - DR LOW WILKIE,BLOCK 429 JURONG WEST AVENUE 1,#01-318,SINGAPORE,640429
201399,YCT PTE LTD - DR YEO CHOR TZIEN,6 NAPIER RD.,#09-18 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201403,ARTHUR TAN HEART CLINIC- DR ARTHUR TAN TEOW HIN,6 NAPIER RD.,#04-07 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201412,HENG EYE CLINIC & SURGERY- DR HENG LEE SUAN,6 NAPIER RD.,#05-09 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201413,STERLING CLINIC & SURGERY- DR CHEONG WEI LING,BLOCK 3 LORONG LEW LIAN,#01-64,SINGAPORE,531003
201415,UNIVERSAL MEDICAL CLINIC DR OW BOON HIN,BLOCK 103 YISHUN RING RD.,#01-99,SINGAPORE,760103
201416,UNIVERSAL MEDICAL CLINIC-DR TAN TEE NGEE,BLOCK 201E TAMPINES ST. 23,#01-104,SINGAPORE,527201
201417,LIFELINE NEIGHBOURHOOD MEDICAL CLINIC P/L,BLOCK 280 BUKIT BATOK EAST AVE 3,#01-333,SINGAPORE,650280
201418,MAKE-WELL FAMILY CLINIC & SURGERY-DR SEE SHEAN YAW,BLOCK 70 LORONG 4 TOA PAYOH,#01-351,SINGAPORE,310070
201420,LIFECARE FAMILY CLINIC & SURGERY-DR SENG TEE KIAT,BLOCK 106 HOUGANG AVENUE 1,#01-1221,SINGAPORE,530106
201422,HEALTHWISE MEDICAL CLINIC & SURGERY DR LOW HOW CHE,DR LOW HOW CHEONG,BLK 41 JALAN TIGA #01-07,SINGAPORE,390041
201423,YAP FAMILY CLINIC & SURGERY- DR YAP THIAM KOON,BLOCK 232 ANG MO KIO AVENUE 3,#01-1208,SINGAPORE,560232
201432,WANG KUO WENG DIABETES & ENDOCRINE PRACTICE - DR W,DR WANG KUO WENG,6 NAPIER RD #09-16 GLENEAGLES MED CTR,SINGAPORE,258499
201442,NORTHLAND FAMILY CL. & SURGERY- DR LO MUN KID,BLOCK 640 YISHUN ST. 61,#01-198,SINGAPORE,760640
201444,UNIVERSAL MEDICAL & DENTAL CLINIC-C/O UNIVERSAL ME,BLOCK 235 YISHUN ST. 21,#01-460,SINGAPORE,760235
201445,YISHUN CENTRAL MEDICAL CLINIC- DR LAI WEE LEE,BLOCK 160 YISHUN ST. 11,#01-212,SINGAPORE,760160
201452,YAP MEDICARE CLINIC & SURGERY- DR YAP BOH WEI,BLOCK 8 EMPRESS RD.,#01-03,SINGAPORE,260008
201459,HEALTHLINK MEDICAL CLINIC & SURGERY-DR RODNEY LIM,BLOCK 5 UPPER ALJUNIED LANE,#01-46,SINGAPORE,360005
201460,PSYCHIATRIC CARE CLINIC- DR TAY LIAM KAI,38 IRRAWADDY ROAD,#05-48 MT E NOVENA SPECIALIST CTR,SINGAPORE,329563
201461,LIFELINE MED GROUP P/L-DR ALAN CHIN YEW LIANG,BUKIT PANJANG MEDICAL CLINIC,BLOCK 103 GANGSA ROAD #01-37,SINGAPORE,670103
201462,YEO NEUROLOGY & CLINICAL NEUROPHYSIOLOGY-DR PT YEO,6 NAPIER RD.,#13-06 ROYAL SQUARE@NOVENA,SINGAPORE,329565
201463,APEX MEDICAL CTR. (JURONG) PTE LTD,BLOCK 960 JURONG WEST ST 92,#01-172,SINGAPORE,640960
201467,KHOO FAMILY CLINIC & SURGERY-DR VINCENT LEONG WS,BLOCK 2 BEACH RD.,#01-4781,SINGAPORE,190002
201469,J J CLINIC & SURGERY- DR LAN JIANN JONG,BLOCK 107 ANG MO KIO AVENUE 4,#01-150,SINGAPORE,560107
201473,FAMILYCARE CLINIC AND SURGERY- DR SOO ING CHOONG,BLOCK 85C LORONG 4 TOA PAYOH,#01-380,SINGAPORE,313085
201474,CTR FOR KIDNEY DISEASES P/L- DR LYE W C,304 ORCHARD RD.,#05-23 LUCKY PLAZA,SINGAPORE,238863
201484,YEOW NEUROLOGY & MEDICAL CLINIC P/L- DR YEOW YEW K,3 MOUNT ELIZABETH,#06-05 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
201489,K W LEE CLINIC & SURGERY FOR WOMEN-DR LEE KEEN W,6 NAPIER RD.,#08-15/16 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201490,HEALTHLINK (AMK) MED CTR P/L- DR JAMES HO,BLOCK 108 ANG MO KIO AVENUE 4,#01-86 (CUSTOMER ORDER USE GIRO ONLY),SINGAPORE,560108
201492,LOYANG MEDICAL CTR- DR LEOW WEI AUN,LOYANG OFFSHORE SUPPLY BASE,LOYANG CRESCENT BOX 5142,SINGAPORE,508988
201495,LIM EAR NOSE & THROAT SURGERY- DR LIM CHONG TECK,6 NAPIER RD.,#08-17 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201499,EVERCARE MEDICAL CLINIC- DR CHUI PENG LEONG,BLOCK 253 CHOA CHU KANG AVENUE 1,#01-14A,SINGAPORE,680253
201503,HARRY FOK SURGERY P/L- DR HARRY FOK,3 MOUNT ELIZABETH,#14-16 MOUNT ELIZABETH MEDICAL CENTRE,SINGAPORE,228510
201506,WM WONG CARDIAC & MED CL P/L- DR WONG WUI MIN,6 NAPIER RD.,#10-10 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201508,THE BALMORAL CLINIC FAMILY MEDICINE- DR ADRIAN KOH,271 BUKIT TIMAH RD.,#02-12 BALMORAL PLAZA,SINGAPORE,259708
201514,L & L FAMILY MEDICINE CL- DR GERALD LOW MUN HENG,6 SIN MING RD.,#01-07 SIN MING PLAZA TOWER 2,SINGAPORE,575585
201517,HEALTHPLUS CLINIC & SURGERY- DR DINA QUEK,BLOCK 631 BEDOK RESERVOIR RD.,#01-898,SINGAPORE,470631
201518,MY FAMILY CLINIC - DR GOH TIONG JIN,BLOCK 46-2 COMMONWEALTH DRIVE,#01-372,SINGAPORE,140462
201519,LOI & WONG CLINIC & SURGERY- DR LOI KUAN LOONG,BLOCK 492 JURONG WEST ST. 41,#01-08,SINGAPORE,640492
201520,SUSAN QUEK HEART CARE CLINIC- DR SUSAN QUEK,3 MOUNT ELIZABETH,#15-14 MT ELIZABETH MEDICAL CTR.,SINGAPORE,228510
201521,MAURICE CHOO CLINIC P/L- DR MAURICE CHOO,1 FARRER PARK STATION ROAD,#07-07/08 CONNEXION,SINGAPORE,217562
201526,ISLAND ORTHOPAEDIC CONSULTANTS,6 NAPIER RD.,#02-16 GLENEAGLES MEDICAL CENTRE,SINGAPORE,258499
201533,FOCUS MEDICAL CTR- DR LIM SINN LING,BLOCK 137 TECK WHYE LANE,#01-329,SINGAPORE,680137
201535,CHEONG FAMILY CLINIC PTE LTD,BLOCK 45 OWEN RD.,#01-293,SINGAPORE,210045
201536,ST GEORGES CLINIC AND SURGERY- DR LEE SIEW KHIM,BLOCK 3 SAINT GEORGE'S RD.,#01-105,SINGAPORE,320003
201542,GOH HAK SU COLON & RECTAL CTR- DR GOH HAK SU,6 NAPIER RD.,#04-08 GLENEAGLES MEDICAL CTR.,SINGAPORE,258499
201544,CN CHEW INTERNAL MEDICINE & GASTROENTEROLOGYCLINIC,820 THOMSON RD.,#01-05 MT ALVERNIA MEDICAL CTR.,SINGAPORE,574623
201549,ELIAS FAMILY CLINIC & SURGERY- DR CHEAH WAI YEE,BLOCK 625 ELIAS RD.,#01-320 ELIAS MALL,SINGAPORE,510625
