CallChannel,NbCall,SourceID,FiscalYear,ProductName_Level2
Face to Face,8,0011i000001xnXCAAY,2019/2020,Diamicron MR
Face to Face,8,0011i000001xnXCAAY,2019/2020,NatSR/Natrixam
Face to Face,8,0011i000001xnXuAAI,2020/2021,Coversyl Family
Face to Face,8,0011i000001xnY6AAI,2020/2021,NatSR/Natrixam
Face to Face,8,0011i000001xnY7AAI,2019/2020,Coveram
Face to Face,8,0011i000001xnY7AAI,2019/2020,Triplixam
Face to Face,8,0011i000002Id70AAC,2019/2020,Vastarel MR
Face to Face,8,0011i000002Id73AAC,2019/2020,Coveram
Face to Face,8,0011i000006WatAAAS,2020/2021,Coralan
Face to Face,8,0011i000006WatAAAS,2020/2021,Coversyl Family
Face to Face,8,0011i000007EVH6AAO,2019/2020,Coralan
Face to Face,8,0011i000007EVH6AAO,2019/2020,Vastarel MR
Face to Face,8,0011i00000KM4QcAAL,2019/2020,Diamicron MR
Face to Face,8,0011i00000MtnslAAB,2019/2020,Triplixam
Face to Face,8,Undefined,2020/2021,Natrixam
Messages,8,Undefined,2020/2021,Coveram
Phone,8,Undefined,2020/2021,Daflon 1000
Remote-detailing,8,0011i000001xnU9AAI,2019/2020,Valdoxan
Remote-detailing,8,0011i000001xnVcAAI,2019/2020,Valdoxan
Email,7,0011i000007DbTnAAK,2020/2021,NatSR/Natrixam
Face to Face,7,0011i000001xmarAAA,2019/2020,Cosyrel
Face to Face,7,0011i000001xmarAAA,2019/2020,Daflon 500
Face to Face,7,0011i000001xmbNAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmbtAAA,2020/2021,Valdoxan
Face to Face,7,0011i000001xmcGAAQ,2019/2020,Cosyrel
Face to Face,7,0011i000001xmcGAAQ,2019/2020,Vastarel MR
Face to Face,7,0011i000001xmcPAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xmcPAAQ,2019/2020,Triplixam
Face to Face,7,0011i000001xmcqAAA,2019/2020,Daflon 1000
Face to Face,7,0011i000001xmcqAAA,2020/2021,Coversyl Family
Face to Face,7,0011i000001xmcqAAA,2020/2021,Daflon 1000
Face to Face,7,0011i000001xmd4AAA,2020/2021,Coversyl
Face to Face,7,0011i000001xmdUAAQ,2019/2020,Valdoxan
Face to Face,7,0011i000001xmfeAAA,2019/2020,Cedraflon
Face to Face,7,0011i000001xmfeAAA,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xmfeAAA,2019/2020,Daflon 500
Face to Face,7,0011i000001xmfIAAQ,2020/2021,Coversyl Family
Face to Face,7,0011i000001xmfIAAQ,2020/2021,Diamicron MR
Face to Face,7,0011i000001xmfLAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xmgyAAA,2019/2020,Coversyl
Face to Face,7,0011i000001xmgyAAA,2020/2021,Diamicron MR
Face to Face,7,0011i000001xmheAAA,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmhIAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmiSAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmjHAAQ,2019/2020,Daflon 500
Face to Face,7,0011i000001xmjHAAQ,2020/2021,Daflon 1000
Face to Face,7,0011i000001xmjsAAA,2019/2020,Triplixam
Face to Face,7,0011i000001xmkuAAA,2019/2020,Daflon 500
Face to Face,7,0011i000001xml6AAA,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmm2AAA,2019/2020,Coralan
Face to Face,7,0011i000001xmm3AAA,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmm3AAA,2019/2020,Vastarel MR
Face to Face,7,0011i000001xmmnAAA,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xmmnAAA,2020/2021,Coversyl Family
Face to Face,7,0011i000001xmmwAAA,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xmmwAAA,2019/2020,Valdoxan
Face to Face,7,0011i000001xmnqAAA,2020/2021,Daflon 1000
Face to Face,7,0011i000001xmp8AAA,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmpGAAQ,2020/2021,Daflon 1000
Face to Face,7,0011i000001xmpGAAQ,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xmpHAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xmpHAAQ,2019/2020,Triplixam
Face to Face,7,0011i000001xmpMAAQ,2019/2020,Daflon 500
Face to Face,7,0011i000001xmqXAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xmrHAAQ,2020/2021,Diamicron MR
Face to Face,7,0011i000001xmrKAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xms8AAA,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xms8AAA,2020/2021,Coversyl Family
Face to Face,7,0011i000001xmsCAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xmsCAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmsCAAQ,2019/2020,Triplixam
Face to Face,7,0011i000001xmsCAAQ,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xmsEAAQ,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xmsTAAQ,2020/2021,Valdoxan
Face to Face,7,0011i000001xmtlAAA,2019/2020,Coveram
Face to Face,7,0011i000001xmtlAAA,2019/2020,Coversyl
Face to Face,7,0011i000001xmtQAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmurAAA,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmv5AAA,2019/2020,Valdoxan
Face to Face,7,0011i000001xmvKAAQ,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xmvUAAQ,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xmvUAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xmvUAAQ,2019/2020,Triplixam
Face to Face,7,0011i000001xmyFAAQ,2019/2020,Daflon 500
Face to Face,7,0011i000001xmygAAA,2019/2020,Coveram
Face to Face,7,0011i000001xmyQAAQ,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xmyrAAA,2019/2020,Cedraflon
Face to Face,7,0011i000001xmyrAAA,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xmyrAAA,2020/2021,Coversyl Family
Face to Face,7,0011i000001xmz2AAA,2019/2020,Vastarel MR
Face to Face,7,0011i000001xmznAAA,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xmzxAAA,2020/2021,Diamicron MR
Face to Face,7,0011i000001xn0nAAA,2020/2021,Coversyl Family
Face to Face,7,0011i000001xn0WAAQ,2019/2020,Triplixam
Face to Face,7,0011i000001xn1iAAA,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xn1nAAA,2019/2020,Coveram
Face to Face,7,0011i000001xn1nAAA,2019/2020,Daflon 500
Face to Face,7,0011i000001xn2DAAQ,2020/2021,Coversyl Family
Face to Face,7,0011i000001xn2yAAA,2020/2021,Diamicron MR
Face to Face,7,0011i000001xn41AAA,2019/2020,Coralan
Face to Face,7,0011i000001xn4AAAQ,2020/2021,Diamicron MR
Face to Face,7,0011i000001xn4SAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xn4SAAQ,2019/2020,Natrixam
Face to Face,7,0011i000001xn4SAAQ,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xn4SAAQ,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xn5EAAQ,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xn5oAAA,2019/2020,Daflon 500
Face to Face,7,0011i000001xn7qAAA,2020/2021,Coversyl Family
Face to Face,7,0011i000001xn7rAAA,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xn7rAAA,2019/2020,Natrixam
Face to Face,7,0011i000001xn8NAAQ,2020/2021,Coralan
Face to Face,7,0011i000001xn8oAAA,2019/2020,Arcalion
Face to Face,7,0011i000001xn8qAAA,2019/2020,Triplixam
Face to Face,7,0011i000001xn8RAAQ,2019/2020,Valdoxan
Face to Face,7,0011i000001xn90AAA,2019/2020,Coralan
Face to Face,7,0011i000001xn90AAA,2019/2020,Vastarel MR
Face to Face,7,0011i000001xn9AAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xn9AAAQ,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xnAVAAY,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xnBPAAY,2020/2021,Daflon 1000
Face to Face,7,0011i000001xnBVAAY,2020/2021,Coralan
Face to Face,7,0011i000001xnBVAAY,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnBWAAY,2019/2020,Coralan
Face to Face,7,0011i000001xnc2AAA,2019/2020,Coveram
Face to Face,7,0011i000001xnc2AAA,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xnc2AAA,2019/2020,Diamicron MR
Face to Face,7,0011i000001xnc2AAA,2019/2020,Triplixam
Face to Face,7,0011i000001xnCAAAY,2019/2020,Triplixam
Face to Face,7,0011i000001xnCcAAI,2019/2020,Coveram
Face to Face,7,0011i000001xnCcAAI,2019/2020,Triplixam
Face to Face,7,0011i000001xnCdAAI,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xnCdAAI,2019/2020,Triplixam
Face to Face,7,0011i000001xncTAAQ,2019/2020,Daflon 500
Face to Face,7,0011i000001xncTAAQ,2019/2020,Diamicron MR
Face to Face,7,0011i000001xncZAAQ,2019/2020,Coveram
Face to Face,7,0011i000001xnDaAAI,2019/2020,Triplixam
Face to Face,7,0011i000001xnDAAAY,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xnDEAAY,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnDmAAI,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnF4AAI,2019/2020,Daflon 500
Face to Face,7,0011i000001xnFBAAY,2019/2020,Coralan
Face to Face,7,0011i000001xnGgAAI,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnGmAAI,2019/2020,Coveram
Face to Face,7,0011i000001xnGsAAI,2019/2020,Diamicron MR
Face to Face,7,0011i000001xnGsAAI,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnHhAAI,2019/2020,Cedraflon
Face to Face,7,0011i000001xnHhAAI,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xnHhAAI,2019/2020,Daflon 500
Face to Face,7,0011i000001xnHoAAI,2020/2021,Coversyl Family
Face to Face,7,0011i000001xnHVAAY,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xnIKAAY,2019/2020,Coralan
Face to Face,7,0011i000001xnIKAAY,2020/2021,Vastarel XR 80
Face to Face,7,0011i000001xnIlAAI,2019/2020,Coveram
Face to Face,7,0011i000001xnIlAAI,2019/2020,Coversyl
Face to Face,7,0011i000001xnK2AAI,2020/2021,Coversyl Family
Face to Face,7,0011i000001xnK6AAI,2019/2020,Natrixam
Face to Face,7,0011i000001xnK6AAI,2019/2020,Triplixam
Face to Face,7,0011i000001xnL0AAI,2019/2020,Daflon 500
Face to Face,7,0011i000001xnLvAAI,2019/2020,Daflon 500
Face to Face,7,0011i000001xnLXAAY,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnP5AAI,2019/2020,Coversyl Plus
Face to Face,7,0011i000001xnPnAAI,2019/2020,Triplixam
Face to Face,7,0011i000001xnPQAAY,2019/2020,Coralan
Face to Face,7,0011i000001xnPuAAI,2019/2020,Diamicron MR
Face to Face,7,0011i000001xnSHAAY,2019/2020,Natrixam
Face to Face,7,0011i000001xnSWAAY,2019/2020,Cosyrel
Face to Face,7,0011i000001xnSWAAY,2019/2020,Triplixam
Face to Face,7,0011i000001xnSWAAY,2019/2020,Vastarel MR
Face to Face,7,0011i000001xnTkAAI,2020/2021,Valdoxan
Face to Face,7,0011i000001xnTLAAY,2020/2021,Coversyl Family
Face to Face,7,0011i000001xnTrAAI,2020/2021,NatSR/Natrixam
Face to Face,7,0011i000001xnTUAAY,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xnU8AAI,2019/2020,Daflon 500
Face to Face,7,0011i000001xnUOAAY,2020/2021,Coversyl Family
Face to Face,7,0011i000001xnUvAAI,2020/2021,Diamicron MR
Face to Face,7,0011i000001xnVHAAY,2019/2020,Coveram
Face to Face,7,0011i000001xnVQAAY,2019/2020,Diamicron MR
Face to Face,7,0011i000001xnVZAAY,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000001xnW2AAI,2020/2021,Daflon 500
Face to Face,7,0011i000001xnXuAAI,2019/2020,Diamicron MR
Face to Face,7,0011i000001xnZGAAY,2019/2020,Coveram
Face to Face,7,0011i000001xnZGAAY,2019/2020,Triplixam
Face to Face,7,0011i000001xnZkAAI,2019/2020,Coveram
Face to Face,7,0011i000001xnZkAAI,2019/2020,NatSR/Natrixam
Face to Face,7,0011i000002Id73AAC,2019/2020,Coversyl
Face to Face,7,0011i000002Id77AAC,2019/2020,Diamicron MR
Face to Face,7,0011i000007EavqAAC,2019/2020,Coversyl
Face to Face,7,0011i000007Ef46AAC,2019/2020,Triplixam
Face to Face,7,0011i000007EVH6AAO,2019/2020,NatSR/Natrixam
Face to Face,7,0011i00000FH4AIAA1,2020/2021,Daflon 1000
Face to Face,7,0011i00000MtnslAAB,2019/2020,Coveram
Face to Face,7,0011i00000NqfZXAAZ,2019/2020,Cosyrel
Face to Face,7,0011i00000NqfZXAAZ,2020/2021,Vastarel XR 80
Face to Face,7,0011i00000NqknMAAR,2019/2020,Coversyl
Face to Face,7,0011i00000TWxbVAAT,2020/2021,Daflon 1000
Face to Face,7,0011i00000X992GAAR,2020/2021,Coversyl Family
Messages,7,0011i000001xnVcAAI,2020/2021,Valdoxan
Remote-detailing,7,0011i000001xnTkAAI,2019/2020,Coversyl
Remote-detailing,7,0011i000001xnVKAAY,2019/2020,Valdoxan
Email,6,0011i000001xnVSAAY,2020/2021,Diamicron MR
Email,6,Undefined,2019/2020,Daflon 1000
Face to Face,6,0011i000001xmamAAA,2019/2020,Coversyl
Face to Face,6,0011i000001xmamAAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmamAAA,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xmaoAAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmarAAA,2019/2020,Cedraflon
Face to Face,6,0011i000001xmarAAA,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xmbNAAQ,2019/2020,Daflon 500
Face to Face,6,0011i000001xmbNAAQ,2020/2021,Coversyl Family
Face to Face,6,0011i000001xmbNAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmcGAAQ,2020/2021,Coversyl Family
Face to Face,6,0011i000001xmcGAAQ,2020/2021,Daflon 1000
Face to Face,6,0011i000001xmcGAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmciAAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmcPAAQ,2019/2020,Cedraflon
Face to Face,6,0011i000001xmcPAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmd4AAA,2020/2021,Coveram
Face to Face,6,0011i000001xmd4AAA,2020/2021,Triplixam
Face to Face,6,0011i000001xmd7AAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmdUAAQ,2019/2020,Cosyrel
Face to Face,6,0011i000001xmfeAAA,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xmfIAAQ,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xmfIAAQ,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xmfLAAQ,2019/2020,Daflon 500
Face to Face,6,0011i000001xmfLAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmfrAAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmg2AAA,2019/2020,Cedraflon
Face to Face,6,0011i000001xmg2AAA,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xmgyAAA,2020/2021,Coversyl Family
Face to Face,6,0011i000001xmiOAAQ,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmjKAAQ,2019/2020,Coveram
Face to Face,6,0011i000001xmjKAAQ,2019/2020,Triplixam
Face to Face,6,0011i000001xmjsAAA,2019/2020,Coveram
Face to Face,6,0011i000001xmjsAAA,2019/2020,Coversyl
Face to Face,6,0011i000001xmjsAAA,2019/2020,Vastarel MR
Face to Face,6,0011i000001xmjsAAA,2020/2021,Cosyrel
Face to Face,6,0011i000001xmklAAA,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xmkPAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xmlSAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmlUAAQ,2019/2020,Vastarel MR
Face to Face,6,0011i000001xmlUAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmlUAAQ,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xmm2AAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmm2AAA,2019/2020,Vastarel MR
Face to Face,6,0011i000001xmm2AAA,2020/2021,Coralan
Face to Face,6,0011i000001xmm2AAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmmDAAQ,2019/2020,Valdoxan
Face to Face,6,0011i000001xmmwAAA,2019/2020,Coversyl
Face to Face,6,0011i000001xmmwAAA,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xmmwAAA,2019/2020,Daflon 500
Face to Face,6,0011i000001xmmyAAA,2019/2020,Daflon 500
Face to Face,6,0011i000001xmmyAAA,2020/2021,Coversyl Family
Face to Face,6,0011i000001xmnBAAQ,2019/2020,Vastarel MR
Face to Face,6,0011i000001xmnJAAQ,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmp2AAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmp8AAA,2019/2020,Cedraflon
Face to Face,6,0011i000001xmp8AAA,2019/2020,Coveram
Face to Face,6,0011i000001xmp8AAA,2019/2020,Coversyl
Face to Face,6,0011i000001xmp8AAA,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xmp8AAA,2019/2020,Daflon 500
Face to Face,6,0011i000001xmpHAAQ,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xmpjAAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xms2AAA,2019/2020,Coveram
Face to Face,6,0011i000001xms2AAA,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xms2AAA,2019/2020,Triplixam
Face to Face,6,0011i000001xms8AAA,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xmsEAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xmsPAAQ,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmtAAAQ,2019/2020,Cosyrel
Face to Face,6,0011i000001xmtNAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xmtNAAQ,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmtQAAQ,2019/2020,Valdoxan
Face to Face,6,0011i000001xmuvAAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmv4AAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmvAAAQ,2019/2020,Coveram
Face to Face,6,0011i000001xmvAAAQ,2019/2020,Triplixam
Face to Face,6,0011i000001xmvKAAQ,2020/2021,Coralan
Face to Face,6,0011i000001xmvMAAQ,2020/2021,Coversyl Family
Face to Face,6,0011i000001xmvQAAQ,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmxrAAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmy1AAA,2019/2020,Daflon 1000
Face to Face,6,0011i000001xmy2AAA,2020/2021,Coralan
Face to Face,6,0011i000001xmygAAA,2020/2021,Coversyl Family
Face to Face,6,0011i000001xmyQAAQ,2020/2021,Coralan
Face to Face,6,0011i000001xmyrAAA,2019/2020,Daflon 500
Face to Face,6,0011i000001xmz3AAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xmz9AAA,2019/2020,Coversyl
Face to Face,6,0011i000001xmznAAA,2019/2020,Vastarel MR
Face to Face,6,0011i000001xmznAAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xmznAAA,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xn0nAAA,2020/2021,Daflon 500
Face to Face,6,0011i000001xn0nAAA,2020/2021,Diamicron MR
Face to Face,6,0011i000001xn0nAAA,2020/2021,Valdoxan
Face to Face,6,0011i000001xn0ZAAQ,2019/2020,Coralan
Face to Face,6,0011i000001xn0ZAAQ,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xn0ZAAQ,2019/2020,Vastarel MR
Face to Face,6,0011i000001xn1iAAA,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xn1nAAA,2019/2020,Coversyl
Face to Face,6,0011i000001xn1SAAQ,2019/2020,Diamicron MR
Face to Face,6,0011i000001xn2DAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xn3SAAQ,2019/2020,Daflon 1000
Face to Face,6,0011i000001xn41AAA,2019/2020,Vastarel MR
Face to Face,6,0011i000001xn4SAAQ,2020/2021,Coralan
Face to Face,6,0011i000001xn5mAAA,2020/2021,Natrilix Family
Face to Face,6,0011i000001xn5oAAA,2019/2020,Cedraflon
Face to Face,6,0011i000001xn5oAAA,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xn7qAAA,2019/2020,Coveram
Face to Face,6,0011i000001xn7qAAA,2019/2020,Coversyl
Face to Face,6,0011i000001xn7rAAA,2020/2021,Coralan
Face to Face,6,0011i000001xn7rAAA,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xn7zAAA,2019/2020,Cedraflon
Face to Face,6,0011i000001xn8iAAA,2020/2021,Daflon 1000
Face to Face,6,0011i000001xn8LAAQ,2019/2020,Coveram
Face to Face,6,0011i000001xn8LAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xn90AAA,2020/2021,Coralan
Face to Face,6,0011i000001xn9AAAQ,2020/2021,Coralan
Face to Face,6,0011i000001xn9MAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xn9UAAQ,2019/2020,Coralan
Face to Face,6,0011i000001xnAbAAI,2019/2020,Coralan
Face to Face,6,0011i000001xnABAAY,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnAhAAI,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xnAjAAI,2020/2021,Natrilix Family
Face to Face,6,0011i000001xnAMAAY,2019/2020,Coralan
Face to Face,6,0011i000001xnAMAAY,2019/2020,Vastarel MR
Face to Face,6,0011i000001xnAtAAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnB8AAI,2019/2020,Daflon 500
Face to Face,6,0011i000001xnBIAAY,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnBnAAI,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xnBOAAY,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnBPAAY,2019/2020,Daflon 500
Face to Face,6,0011i000001xnBwAAI,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xnC7AAI,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnCAAAY,2019/2020,Coveram
Face to Face,6,0011i000001xnCcAAI,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xnCJAAY,2019/2020,Coversyl
Face to Face,6,0011i000001xncMAAQ,2019/2020,Coveram
Face to Face,6,0011i000001xncMAAQ,2019/2020,Coversyl
Face to Face,6,0011i000001xnCpAAI,2019/2020,Coralan
Face to Face,6,0011i000001xnCpAAI,2019/2020,Vastarel MR
Face to Face,6,0011i000001xnCwAAI,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnd7AAA,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnDaAAI,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnDAAAY,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xnDAAAY,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnDAAAY,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xnDEAAY,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnDmAAI,2019/2020,Coversyl
Face to Face,6,0011i000001xnDmAAI,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnE7AAI,2020/2021,Daflon 1000
Face to Face,6,0011i000001xnF4AAI,2020/2021,Daflon 500
Face to Face,6,0011i000001xnFQAAY,2019/2020,Daflon 500
Face to Face,6,0011i000001xnFQAAY,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnGmAAI,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnHfAAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnHoAAI,2019/2020,Coversyl
Face to Face,6,0011i000001xnHVAAY,2019/2020,Vastarel MR
Face to Face,6,0011i000001xnI5AAI,2019/2020,Daflon 500
Face to Face,6,0011i000001xnI5AAI,2020/2021,Daflon 1000
Face to Face,6,0011i000001xnIyAAI,2019/2020,Coveram
Face to Face,6,0011i000001xnIyAAI,2019/2020,Triplixam
Face to Face,6,0011i000001xnK2AAI,2019/2020,Natrixam
Face to Face,6,0011i000001xnKiAAI,2019/2020,Cedraflon
Face to Face,6,0011i000001xnKiAAI,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xnKiAAI,2019/2020,Daflon 500
Face to Face,6,0011i000001xnKiAAI,2019/2020,Vastarel MR
Face to Face,6,0011i000001xnKyAAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnL0AAI,2019/2020,Triplixam
Face to Face,6,0011i000001xnL5AAI,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnLOAAY,2019/2020,Daflon 500
Face to Face,6,0011i000001xnLOAAY,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnLUAAY,2019/2020,Coveram
Face to Face,6,0011i000001xnLUAAY,2019/2020,Coversyl
Face to Face,6,0011i000001xnLUAAY,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnLvAAI,2020/2021,Daflon 500
Face to Face,6,0011i000001xnMtAAI,2020/2021,Daflon 1000
Face to Face,6,0011i000001xnMVAAY,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnOeAAI,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnOqAAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnP4AAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnP5AAI,2019/2020,Coversyl
Face to Face,6,0011i000001xnP5AAI,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnP5AAI,2020/2021,Daflon 1000
Face to Face,6,0011i000001xnP5AAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnP5AAI,2020/2021,Vastarel XR 80
Face to Face,6,0011i000001xnPnAAI,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnPnAAI,2020/2021,Diamicron MR
Face to Face,6,0011i000001xnPQAAY,2019/2020,Coveram
Face to Face,6,0011i000001xnPQAAY,2019/2020,NatSR/Natrixam
Face to Face,6,0011i000001xnPQAAY,2019/2020,Triplixam
Face to Face,6,0011i000001xnPuAAI,2019/2020,Cosyrel
Face to Face,6,0011i000001xnPuAAI,2019/2020,Vastarel MR
Face to Face,6,0011i000001xnSWAAY,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnT9AAI,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xnTSAAY,2020/2021,Coversyl Family
Face to Face,6,0011i000001xnTzAAI,2020/2021,Daflon 1000
Face to Face,6,0011i000001xnU8AAI,2019/2020,Cedraflon
Face to Face,6,0011i000001xnUlAAI,2019/2020,Diamicron MR
Face to Face,6,0011i000001xnUoAAI,2019/2020,Daflon 500
Face to Face,6,0011i000001xnV3AAI,2019/2020,Coveram
Face to Face,6,0011i000001xnVcAAI,2019/2020,Coversyl Plus
Face to Face,6,0011i000001xnVcAAI,2019/2020,Triplixam
Face to Face,6,0011i000001xnVcAAI,2020/2021,Valdoxan
Face to Face,6,0011i000001xnVJAAY,2020/2021,Valdoxan
Face to Face,6,0011i000001xnVQAAY,2019/2020,NatSR/Natrixam
